date_value,stock_percent_change,buy,gains,power,win,bad,cheap,bear,sad,down,good,downside,bull,expensive,sell,loss,great,trending,bullish,positive,bearish,long,short,negative,upside,gain,value,excited,acquisition,happy
2016-05-14,-0.53970703054019464,7.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-19,-3.2078212377850859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-18,-1.7428590388566352,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-17,-1.2795740262204978,5.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
2016-05-01,0.80602128067893053,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,6.0,9.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0
2016-05-02,0.80602128067893053,102.0,4.0,0.0,0.0,13.0,4.0,8.0,0.0,68.0,35.0,4.0,0.0,4.0,17.0,16.0,23.0,2.0,6.0,5.0,0.0,40.0,28.0,6.0,6.0,0.0,9.0,0.0,3.0,0.0
2016-05-03,2.2193805392071302,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,8.0,2.0,1.0,0.0,0.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,7.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
2016-05-04,1.2656191276579556,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-05,-0.16390359332515247,13.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,8.0,3.0,0.0,1.0,0.0,6.0,1.0,2.0,1.0,3.0,0.0,3.0,8.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
2016-05-06,-3.0675296085815107e-14,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-27,0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-16,-0.71921227638256291,4.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2016-05-13,-3.1494171875263395,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-15,-0.71921227638256291,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,7.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-29,0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
