id,text,screen_name,time
727188417650393089,Will Amazon Kill GrubHub? https://t.co/JnsLwjOvS9 $ABT $ADT $ALR $APO $APOL $BCE $BHI $BRCD $BRK.A $BRK.B $CBNJ $CSH $DIA $FCAU $FCFS,SAlphaTrending,Mon May 02 17:30:03 +0000 2016
727187815965032449,Buy me a $BRK.A share so I know its real,LoudArab,Mon May 02 17:27:40 +0000 2016
727185196739502080,Will Amazon Kill GrubHub? https://t.co/JWU8XbCOoM $ABT $ADT $ALR $APO $APOL $BCE $BHI $BRCD $BRK.A $BRK.B $CBNJ $CSH $DIA $FCAU $FCFS,SEEKINGALPHA_FS,Mon May 02 17:17:16 +0000 2016
727185195170844672,Will Amazon Kill GrubHub? https://t.co/v2llN625N8 $ABT $ADT $ALR $APO $APOL $BCE $BHI $BRCD $BRK.A $BRK.B $CBNJ $CSH $DIA $FCAU $FCFS,SAlphaTech,Mon May 02 17:17:15 +0000 2016
727185194004828160,Will Amazon Kill GrubHub? https://t.co/SWUOQQaTXg $ABT $ADT $ALR $APO $APOL $BCE $BHI $BRCD $BRK.A $BRK.B $CBNJ $CSH $DIA $FCAU $FCFS,SA_MacroView,Mon May 02 17:17:15 +0000 2016
727181404530872320,https://t.co/PmDiMJ2pzN  I changed my life learning 2 trade stocks from this guy... $BRK.B $BRK.A $FET $SYY,JBP_DVDs,Mon May 02 17:02:11 +0000 2016
727177023563554818,The Greatest Hustler Who Ever Lived  https://t.co/Bqnmxzy6Us $BRK.A $BRK.B $IBM $KO $VRX,chessNwine,Mon May 02 16:44:47 +0000 2016
727173632603111428,UBS: Berkshire better than an S&amp;P proxy $BRK.A $BRK.B https://t.co/Dqq3HJNOft,giovfranchi,Mon May 02 16:31:18 +0000 2016
727170604281942016,UBS: Berkshire better than an S&amp;P proxy https://t.co/znCFuNS0eX $BRK.A $BRK.B,SEEKINGALPHA_FS,Mon May 02 16:19:16 +0000 2016
727170601853419521,UBS: Berkshire better than an S&amp;P proxy https://t.co/o7z30UeIgd $BRK.A $BRK.B,MarketCurrents,Mon May 02 16:19:16 +0000 2016
727166705886089216,"""Well let me tell you about another company everyone hates..."" $VRX $GS $BRK.A https://t.co/FWkqj4o8cV",JeffMacke,Mon May 02 16:03:47 +0000 2016
727159143446904832,Valeant getting killed today. $VRX down 11% after Warren Buffett talked negatively about them at $BRK.A/$BRK.B meeting and again on CNBC.,LaMonicaBuzz,Mon May 02 15:33:44 +0000 2016
727157136833155072,"Commented on WACC Is Flawed, Use Warren Buffett's Approach Instead https://t.co/VpWtf6CxSr $BRK.A $BRK.B $SPY",Bert_Hancock,Mon May 02 15:25:46 +0000 2016
727152253493231617,Buffett takes show to CNBC https://t.co/RhMeNLX3wl $BRK.A $BRK.B $IBM $KO,jjklavins,Mon May 02 15:06:21 +0000 2016
727145958312652800,"#Buffett Not An Aggressive Buyer, But A Buyer, Of #IBM $IBM Also $BRK.A https://t.co/wKgbKXBsZj",TalkMarkets,Mon May 02 14:41:20 +0000 2016
727137941412302848,Is Bernie Sanders Right About The Big Banks? https://t.co/gLQVkJJcCJ $ACGBF $ACGBY $BAC $BCS $BNPQF $BNPQY $BRK.A $BRK.B $C $CICHF $CICHY,pelias01,Mon May 02 14:09:29 +0000 2016
