id,text,screen_name,time
727186558546239488,I scan 4U: some of the technically best looking #Canadian #Stocks 4 short term : $HBAN $VZ  $SRC $PG $IPG $WYNN  (DourDD.),ta4u_stocks,Mon May 02 17:22:40 +0000 2016
727183992902930432,"Viral Video on how to invest like WARREN BUFFETT! https://t.co/TAwkccuMj8
$AAPL $GOOG $AMZN $WMT $DOW $DD $MCD $F $GM $GE $JNJ $PG $KMB $IBM",toptrader2015,Mon May 02 17:12:28 +0000 2016
727181806840209408,"$PG 82.5 Calls SELLING Activity expiring on 17th Jun, Vol 5000",SpeedyCalls,Mon May 02 17:03:47 +0000 2016
727181757309550592,10 Stocks to Sell in May and Go Away $AAPL $SBUX $INTC $AAL $UAL $WMT $NFLX $PG $MRK $SWKS https://t.co/rV9zjxfOHW https://t.co/PP7L1IvXMd,JorelLaraKalel,Mon May 02 17:03:35 +0000 2016
727173563116097536,Acquisition Strategy to Increase Sales in Challenging Economic Environments  https://t.co/qwnNd0PP0F $pg $cvx $mrk 5,SanDiegoTrend,Mon May 02 16:31:02 +0000 2016
727170885623386112,Ways To Make Employees Feel Valued  https://t.co/1zLoF8mgQG $tna $cat $dis $aig $tsla $pg $cvx $mrk $cmcsa $txn 1,WallStreetTrend,Mon May 02 16:20:23 +0000 2016
727170885350756352,Creating Value with Mobile Apps  https://t.co/vV6iH1XEiA $pg $cvx $mrk $cmcsa $txn $mdt $axp $dow $gmcr $slb 1,PhillyTrend215,Mon May 02 16:20:23 +0000 2016
727161463324823552,Volume Alert - PG 80.52 Procter &amp; Gamble Company $PG Hit a high today of 80.82 Closing the day 10:30 at 80.52  https://t.co/gMNjY4crnB,leahanneta,Mon May 02 15:42:57 +0000 2016
727148222381215744,Acquisition Strategy to Increase Sales in Challenging Economic Environments  https://t.co/vV6iH1XEiA $pg $cvx $mrk 5,PhillyTrend215,Mon May 02 14:50:20 +0000 2016
727145880751501312,$PG Looking for a breakout at $81.94 with a short term target of $95.71. Technical strong buy  https://t.co/35iVCWaZX9,stoxline,Mon May 02 14:41:02 +0000 2016
727145715714109440,Ways To Make Employees Feel Valued  https://t.co/qwnNd0PP0F $tna $cat $dis $aig $tsla $pg $cvx $mrk $cmcsa $txn 5,SanDiegoTrend,Mon May 02 14:40:22 +0000 2016
727145715596713984,Creating Value with Mobile Apps  https://t.co/1zLoF8mgQG $pg $cvx $mrk $cmcsa $txn $mdt $axp $dow $gmcr $slb 1,WallStreetTrend,Mon May 02 14:40:22 +0000 2016
727130557277044736,Best (And Worst) Sector ETFs For May $XLP $XLE $XLB $XLY $KO $PG $WMT https://t.co/BBYmTejPab,Benzinga,Mon May 02 13:40:08 +0000 2016
727126431482937344,Dogs Of The Dow Outpacing Broader Market https://t.co/bKIkgmiOlO $WMT $INTC $CAT $CVX $XOM $VZ $IBM $MRK $CSCO $PG $PFE,pelias01,Mon May 02 13:23:45 +0000 2016
727109211620933633,Procter &amp; Gamble Reiterated Rating by B. Riley &amp; Co. (Ranked 43rd) to Neutral with 74 PT $PG #PG https://t.co/IZWYreQWE0,firsttomarkets,Mon May 02 12:15:19 +0000 2016
727085273914466305,"I made $6.321400437602847e+24 (22%) trading $PG, beating the stock! And beating the market! Play the @business https://t.co/Fml7dsFhjq",ArmanExchange80,Mon May 02 10:40:12 +0000 2016
