id,text,screen_name,time
727186200377868292,@RiskReversal long your $WMT idea since they bombed last time. .5% of total port,WhiteGemCapital,Mon May 02 17:21:15 +0000 2016
727184252664606720,"Viral Video on how Amazon is taking over retail!
https://t.co/YGKyms37MR
$AMZN $WMT $TGT $HD $LOW $M $JCP $DKS $CAB $LB $BABA $BIDU $KR $CAG",toptrader2015,Mon May 02 17:13:30 +0000 2016
727183999030841345,#Walmart Canada to extend plastic bag fees. Read more: https://t.co/K2weVWE3gP $WMT,discountstores_,Mon May 02 17:12:30 +0000 2016
727183992902930432,"Viral Video on how to invest like WARREN BUFFETT! https://t.co/TAwkccuMj8
$AAPL $GOOG $AMZN $WMT $DOW $DD $MCD $F $GM $GE $JNJ $PG $KMB $IBM",toptrader2015,Mon May 02 17:12:28 +0000 2016
727181757309550592,10 Stocks to Sell in May and Go Away $AAPL $SBUX $INTC $AAL $UAL $WMT $NFLX $PG $MRK $SWKS https://t.co/rV9zjxfOHW https://t.co/PP7L1IvXMd,JorelLaraKalel,Mon May 02 17:03:35 +0000 2016
727179109898588160,$ITUS and $WMT The technicals are extremely tight should see some quick moves https://t.co/snVkpnhd0X,2016_galin,Mon May 02 16:53:04 +0000 2016
727178455041888257,How Does Co-Branding Work to Improve Sales  https://t.co/vV6iH1XEiA $iyr $aig $xbi $xly $wmt $f $googl $aapl $cvx 1,PhillyTrend215,Mon May 02 16:50:28 +0000 2016
727178454958018560,The Best Advertisement in the World  https://t.co/qwnNd0PP0F $iyr $aig $xbi $xly $wmt $mdt $axp $dow $gmcr $slb $v 5,SanDiegoTrend,Mon May 02 16:50:28 +0000 2016
727175921006956545,How much time off is too much time off  https://t.co/1zLoF8mgQG $iyr $aig $xbi $xly $wmt $mdt $axp $dow $gmcr $slb 1,WallStreetTrend,Mon May 02 16:40:24 +0000 2016
727169951484764160,"How Mobile Is Redefining Retail, From Wal-Mart To Macy's $WMT #walmart #mobilecommerce #retail @poonam_Goyal12
https://t.co/pTME15JZJn",bthau,Mon May 02 16:16:41 +0000 2016
727167205968863232,Wal-Mart under a lot of pressure: Buffett #WMT $WMT #Walmart #Buffett #CNBC  https://t.co/yNgaTj3sf7,HurriCap,Mon May 02 16:05:46 +0000 2016
727161280923099137,Volume Alert - WMT 66.76 Wal-Mart Stores $WMT Hit a high today of 66.94 Closing the day 10:30 at 66.76 -0.11 - https://t.co/6hxm1RAuWv,leahanneta,Mon May 02 15:42:14 +0000 2016
